ID,LESSON,BOOK_LESSON,SUBJECT,TITLE,BOOK_TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
1,1&2,1,Introduction,Tarbell 1 + 2: Introduction and Interview with Shawn Farquhar,History of Magic,0:00:10,---,---,---,,NONE
2,10-1,1,Effective Card Mysteries,The Rising Card Escape,"Magicians in the Bible, Zoroaster, Merlin, Alchemy, etc",0:00:10,1,194,"Chosen card rises from deck while deck is inside card box, sealed with rubberbands (including the magician's hand)",,NONE
3,10-1,2,Effective Card Mysteries,Sealed Card Mystery,Magic as a Science. (Principles of magic),0:05:21,1,199,spectator selects card and places it inside card box. magician uses black queens to reveal the card's value and suit by changing the queens to the value and suit of the card,,NONE
4,10-1,2,Effective Card Mysteries,A Psychological Impossibility,"	Professional Attitude, performing, practicing, misdirection, etc.",0:19:10,1,205,card placed in pocket. spectator selects packet of cards. spectator selects 1 card from packet and remembers position in packet. card disappears and reappears in magicians pocket ,,NONE
5,10-1,3,Effective Card Mysteries,The Hindu Color Changing Deck,"	Sleight of Hand with Coins (Palms, Holds, Vanishes, Aquitments)",0:28:44,1,208,red back deck switches places with blue back deck,,NONE
6,100-1,3,Magic with Apparatus,The Siberian Chain Escape,Palming Used in Coin Sleights,0:00:10,8,225,An escape using a seemingly innocent chain that has actually been carefully prepared to allow you to release yourself quite quickly and easily.,,NONE
7,100-1,3,Magic with Apparatus,The Mysterious Self-Filling Lota,Holds Used in Coin Sleights,0:08:25,8,228,"A metal vase with the uncanny ability to re-fill itself, many times.",,NONE
8,100-1,3,Magic with Apparatus,Tarbell's Ball and Vase Routine,Manipulative Methods for Vanishing a Coin,0:24:42,8,231,"Dan Harlan's Ball Vase routine which gives you many magical moments, and even fools when you explain how it works.",,NONE
9,100-1,3,Magic with Apparatus,Tarbell's Orange Vase Combination,Tarbell's Improved Le Tourniquet Vanish,0:42:56,8,232,"A giant eyeball, or two, transforms and transports itself in this strange ball vase routine.",,NONE
10,100-1,3,Magic with Apparatus,The Bran Vase,Le Paul's Improved Le Tourniquet Vanish,1:04:08,8,234,"Transform shredded paper into money, party favors, decorations, and even a cake!",,NONE
11,100-1,3,Magic with Apparatus,The Dove Pan,Berg's Thumb Coin Vanish,1:22:17,8,237,Burning money in a pan is transformed into fruit. The money is found inside the fruit.,,NONE
12,100-1,3,Magic with Apparatus,Ching Ling Foo's Magic Water Can,To Get Rid of a Coin After Vanishing It in Hand,1:40:17,8,241,A jug which can make liquid appear.,,NONE
13,100-1,4,Magic with Apparatus,The Welsh Rarebit,Coin Tricks,1:40:17,8,243,You'll learn how to customize a hard-to-find prop to produce your own interactive cooking show.,,NONE
14,100-1,4,Magic with Apparatus,The Magic Chocolates,The Dissolving Coin,2:07:31,8,246,"Tasty chocolates jump from a glass, instantly back into its package",A marked coin vanishes when dropped in water glass,NONE
15,100-1,4,Magic with Apparatus,The Wandering Glass and Bottle,Vanishing Coin in Handkerchief,2:17:11,8,250,"Three tricks are combined into one fast and funny routine with customized props and tons of terrific comedy moments, perfect for a partner act.",A coin vanishes under a handkerchief,NONE
16,100-1,4,Magic with Apparatus,"Bottle, Bottle, Where's the Bottle",Coin through Handkerchief,2:17:11,8,258,"Three tricks are combined into one fast and funny routine with customized props and tons of terrific comedy moments, perfect for a partner act.",a coin penetrates a handkerchief,NONE
17,100-1,4,Magic with Apparatus,Comedy Version,Copper Or Silver Penetration,2:17:11,8,255,"Three tricks are combined into one fast and funny routine with customized props and tons of terrific comedy moments, perfect for a partner act.","Two coins wrapped in a handkerchief, selected coin penetrates",NONE
18,100-1,4,Magic with Apparatus,"Tarbell's ""Society Special"" Black Art Table",Pencil Coin Vanish and Reappearance,2:46:36,8,262,"Learn to make your own versatile table helping you vanish, produce, and exchange objects as demonstrated by a surprising lemonade-making routine.",Coin vanishes and reappears using pencil wand,NONE
19,100-1,5,Magic with Apparatus,Super Vanish of Doves,More Coin Tricks,3:09:58,8,271,A modern version of an instant vanish of any small animal,,NONE
20,101-1,5,Comedy Magic,The Vice Versa Rabbit Mystery,Joe Berg's Miracle Coin Vanish,0:00:10,8,283,A silly transposition of a softball between baskets. Ending with a surprise animal production.,Coins wrapped in a handkerchief vanishes and reappears,NONE
21,101-1,5,Comedy Magic,The Lie Detector,"Coin, Envelope, and Handkerchief",0:06:44,8,285,A borrowed quarter becomes a lie detector by absorbing its owner's energy. It jumps every time it hears a lie.,Marked coin transposes from envelope to knotted handkerchief,NONE
22,101-1,5,Comedy Magic,The Traveling Coins,Vanishing a Coin by Wrapping It In a Piece Of Paper,0:36:06,8,288,3 coins impossibly travel between 2 buckets.,,NONE
23,101-1,5,Comedy Magic,The Chameleon Socks,Homing Coins,0:48:34,8,291,Learn how to change the color of your socks instantly.,A money tray miracle,NONE
24,101-1,5,Comedy Magic,Mind Reading Deluxe,Invisible Money Transit,1:00:58,8,295,A combined comedy mind-reading and pick pocketing routine that's easier than it looks.,A money tray miracle,NONE
25,101-1,5,Comedy Magic,A Hypnotic Vanishing,Multiplying Money Tray,1:39:30,8,300,"The last three tricks combine together to make a nice comedy interlude featuring the clown in your cast of characters... She levitates, vanishes, reappears, and vanishes again... all with the help of some magic shoes.",,NONE
26,101-1,6,Comedy Magic,An Unexpected Vanishing,The Thumb Tip,1:39:30,8,303,"The last three tricks combine together to make a nice comedy interlude featuring the clown in your cast of characters... She levitates, vanishes, reappears, and vanishes again... all with the help of some magic shoes.",,NONE
27,101-1,6,Comedy Magic,A Comedy Levitation,Mystery of The Burning Cigarette,1:39:30,8,305,"The last three tricks combine together to make a nice comedy interlude featuring the clown in your cast of characters... She levitates, vanishes, reappears, and vanishes again... all with the help of some magic shoes.",Lit cigarette dropped in handkerchief without harm.,NONE
28,102-1,6,Pantomime Illusions,Introduction,The Asbestos Palm,0:00:10,---,---,---,Lit cigarette vanishes in magician's hand,NONE
29,102-1,6,Pantomime Illusions,The Phantom of the Circus,Burning a Borrowed Handkerchief,0:10:53,8,311,"A film noir illusion act complete with a cast of suspicious characters, stunning vanishes, and perplexing transpositions.",Borrowed handkerchief is set on fire and yet remains undamaged.,NONE
30,102-1,6,Pantomime Illusions,"The Chinaman, The Ghost, and the Cat",Enchanted Paper,0:45:56,8,329,"A dream-like heist involving a thief, a guard, and a very tricky dog.",lit paper.,NONE
31,102-1,6,Pantomime Illusions,The Mystery of the Three Ghosts,A Comedy Interlude,1:18:33,8,345,"During a psychedelic trip, weird apparitions appear, resulting in a sudden transposition.",,NONE
32,102-1,6,Pantomime Illusions,The Mystery of the Dancing Girls,The Passe - Passe Salt,1:41:56,8,348,Produce a stage full of characters ready for a wild costume party.,"Salt disappears from left hand, poured from right",NONE
33,102-1,7,Pantomime Illusions,Breakdown,Impromptu Tricks,1:56:19,---,---,---,,NONE
34,103-1,7,Making Magic Pay,---,The Penetrating Ring,0:00:10,8,353,"You'll learn about the five major areas of magic in which you can make good money in.- You will explore a comprehensive list of options and learn about the requirements, benefits, and drawbacks of each.- You will also get a general idea of how much to charge for your services, based on the current economy and other factors you'll encounter.- Learn how to increase your earnings and expand your business.",Rubber Band Trick,NONE
35,11-1,7,Impromptu Card Mysteries,"Joe Berg's ""Count Down"" Card Mystery",The Jumping Rubber Band,0:00:10,1,213,5 hands of 5 cards are dealt. spectator selects 1 hand and shuffles it then memorizes bottom card. magician locates card without knowing it,A rubber band jumps from fingers to fingers,NONE
36,11-1,7,Impromptu Card Mysteries,Tenkai's Reverse Cards Mystery,Metal Ring on a String,0:13:42,1,215,"half cards face down, half cards face up, all become face down ",Solid ring removed from string whose ends are in full view,NONE
37,11-1,7,Impromptu Card Mysteries,Royal Card Discovery,Patriotic Rings and String,0:19:31,1,217,"self-working mathematical trick. ""hacker"", joker, finds value of card spectator puts in their pocket ",Selected color ring is removed from rope,NONE
38,11-1,7,Impromptu Card Mysteries,Birds of a Feather,Penetrative Cigar Band,0:35:07,1,219,ace of spades locates spectators selected card,Cigar band removed from rope,NONE
39,11-1,7,Impromptu Card Mysteries,Card Appearance at Selected Number,Vanishing Ring on String,0:42:41,1,221,Spectator names number between 1-10. Card wanted is at that number ,Ring' of string is eliminated by magician after spectator fails,NONE
40,11-1,7,Impromptu Card Mysteries,The Change-About Card,Kellar's Cut and Restored Cord,0:48:12,1,223,Selected card changes into different card,30' wrapping cord cut and restored,NONE
41,11-1,7,Impromptu Card Mysteries,Find the Burglar,Comedy Version of Germain Cord Effect,0:51:54,1,225,"card revelation between 2 other, previously empty, cards",,NONE
42,11-1,7,Impromptu Card Mysteries,Selected Cards from Spectator's Pocket,An Impromptu Cut And Restored Cord Effect,0:57:19,1,227,3 selected cards are magically found by a spectator in the magician's coat pocket (dual reality),,NONE
43,12-1,8,Mental Card Mysteries,Al Baker's Twin Soul Card Prediction,Ball Tricks,0:00:10,1,229,magician writes a predicted card and spectator A selects a card. magician writes another predicted card and spectator B selects a card. predictions are ready and found to match selected cards,,NONE
44,12-1,8,Mental Card Mysteries,You Do as I Do,Cups and Balls,0:10:39,1,232,Spectator does exactly what the magician does and both end up selecting the same card,Routine uses three paper coffee cups and sponge rubber balls. Ends with large load revelation.,NONE
45,12-1,8,Mental Card Mysteries,A Baffling Discovery,Three Wandering Sponge Balls,0:16:20,1,234,"3 Spectators select 5 cards at random and just think of 1 of the 5 cards.  Magician then takes the 5 cards from spectator 1 and proceeds to get rid of 4, leaving him with 1.  Spectator 1 names the card he was thinking of and it matches.  Repeat for spectator 2 and 3.",standard sponge ball routine,NONE
46,12-1,8,Mental Card Mysteries,Thought Location,Four Traveling Balls,0:35:48,1,236,"Spectator thinks of number between 1-31.  Deals down to that number and looks at the card and places it back on deck and places the rest of the deck on top of the selected card.  Magician then locates the card by placing a card in his pocket.  Magician counts down to selected number to reveal card is no longer there.   Shows card is no longer in deck.  Shows card in pocket to be spectator's card.  (combined with Thought Location, magician is able to know birthday of spectator)",sponge ball routine with hat,NONE
47,12-1,8,Mental Card Mysteries,Card in the Pocket,Patriotic Paper Balls,0:45:09,1,238,Spectator thinks of number between 1-10.  Deals down to that number and looks at the card and places it back on deck and places the rest of the deck on top of the selected card.  Magician then locates the card by placing a card in his pocket.  Magician counts down to selected number to reveal card is no longer there.  Shows card is no longer in deck.  Shows card in pocket to be spectator's card.,"Three bowls and red, white, and blue balls.",NONE
48,12-1,9,Mental Card Mysteries,The Mystic Card Clock Dial,Mathematical Mysteries,0:50:28,1,239,"Spectator counts down the number of cards equal to the month they were born and places those cards on bottom of deck.  Magician lays out 12 cards from top of deck and is able to know the month the spectator was born (combined with Thought Location, magician is able to know birthday of spectator)",,NONE
49,12-1,9,Mental Card Mysteries,The Thoughtful Joker,Mystery of the Traveling Numbers,1:01:07,1,241,"2 spectators get a half deck each and cut wherever they wish.  They select the card they cut at, switch places, place the card on what was the top of the other person's deck and complete the cut. They choose which half goes on top of the other half to place the halves back into a full deck.  They cut the deck again and complete the cut.  The magician locates the Joker and pulls it out.  The Joker ""tells"" the magician what the 2 cards are.",Number Prediction,NONE
50,12-1,9,Mental Card Mysteries,"A ""Sense of Tough"" Discovery",Spirit Mathematician,1:10:02,1,243,"Several cards are selected and mixed into a card deck.  The cards are tossed into a hat and the magician reaches in and, 1 at a time, retrieves the cards from the hat.",Called out numbers sum prediction,NONE
51,12-1,9,Mental Card Mysteries,Henry Hardin's Cards in Hat Discovery,Numbers on the Arm,1:20:53,1,245,"Cards with letters written on backs of them are mixed up and thrown into a hat.  Magician reaches in and pulls out cards that spell ""Goodbye"" to end his show.",Variation where numbers appear on arm,NONE
52,13-1,9,Card Sleights,The Pass,Rapid Banking,0:00:10,1,247,---,$1 and a check for $1 exchange places,NONE
53,13-1,10,Card Sleights,The Modern Pass,Effective Card Mysteries,0:14:22,1,250,---,,NONE
54,13-1,10,Card Sleights,How to use the Foregoing Passes,Rising Card Escape,0:17:02,1,251,---,Card rise from case,NONE
55,13-1,10,Card Sleights,"The ""Side-Steal"" Pass",Sealed Card Mystery,0:19:14,1,253,---,2 card predict third selected card,NONE
56,13-1,10,Card Sleights,The GW Hunter Shuffle,A Psychological Impossibility,0:22:48,1,254,---,"2 cards selected by 2 spectator, 2nd card turns out to be first",NONE
57,13-1,10,Card Sleights,The Wiggle-Woggle Shuffle,Hindu Color Changing Deck,0:25:59,1,254,---,"Blue backed deck shown, card removed with red back, entire deck now red!",NONE
58,13-1,11,Card Sleights,The Riffle False Shuffle,Impromptu Card Mysteries,0:28:01,1,255,---,,NONE
59,13-1,11,Card Sleights,Overhand Shuffle Control,Joe Berg's 'Count Down' Card Mystery,0:31:27,1,256,---,Counting revelation,NONE
60,13-1,11,Card Sleights,Controlling Cards with a Riffle Shuffle,Tenkai's Reverse Cards Mystery,0:36:30,1,257,---,Cards are reversed but restore themselves,NONE
61,13-1,11,Card Sleights,"""Pack in Hands"" False Cut",Royal Card Discovery,0:38:56,1,258,---,card prediction,NONE
62,13-1,11,Card Sleights,The Three Way Table Cut,Birds of a Feather,0:42:55,1,259,---,Performer and spectator each select card and mix them in deck. The end up together,NONE
63,13-1,11,Card Sleights,Another Three-Cut Variation,Card Appearance at a Selected Number,0:45:44,1,259,---,counting revelation,NONE
64,13-1,11,Card Sleights,The Four-Way Cut,Change-About Card,0:46:56,1,259,---,Selected card mixed in deck and jumps to top,NONE
65,13-1,11,Card Sleights,Another Four-Way Cut,Find the Burglar,0:48:31,1,260,---,selected card found between two kings,NONE
66,13-1,11,Card Sleights,Dan's Four Way Cut (Not in the book),Selected Cards from the Spectator's Pocket,0:49:51,---,---,---,,NONE
67,13-1,12,Card Sleights,Fan Cut Control,Mental Card Mysteries,0:51:06,1,260,---,,NONE
68,13-1,12,Card Sleights,Slip Cut Control,Al Baker's 'Twin Soul' Card Prediction,0:52:26,1,261,---,double prediction,NONE
69,13-1,12,Card Sleights,The Force,Baffling Discovery,0:54:06,1,262,---,One of five card prediction,NONE
70,13-1,12,Card Sleights,The Forcing Deck,Thought Location,0:59:42,1,264,---,Spectator and Magician both select card. Spectator's card ends up in Magician's pocket,NONE
71,13-1,12,Card Sleights,Double Force with Knife,Mystic Card Clock Dial,1:00:55,1,264,---,Clock dial prediction,NONE
72,13-1,12,Card Sleights,The Mathematical Force,Thoughtful Joker,1:02:09,1,264,---,Joker helps find selected cards,NONE
73,13-1,12,Card Sleights,Forcing Bottom Card,Sense of Touch Discovery,1:05:12,1,265,---,selected cards found inside hat,NONE
74,13-1,12,Card Sleights,Force Behind Performer's Back,Henry Hardin's Cards in Hat Discovery,1:07:28,1,266,---,Cards are named as removed from hat,NONE
75,13-1,13,Card Sleights,The Circus Trick,Card Sleights,1:08:49,1,267,---,,NONE
76,13-1,13,Card Sleights,The Riffle Force,The Pass,1:13:50,1,268,---,"Regular, Modern, Side Steal, How to use",NONE
77,13-1,13,Card Sleights,Riffle Force with Unprepared Cards,The False Shuffle,1:15:54,1,270,---,"G.W. Hunter, Wiggle Woggle, Riffle, Top and Bottom Control",NONE
78,13-1,13,Card Sleights,Forcing One of Four Cards on Table (Title misnamed in video),The False Cut,1:17:23,1,271,---,"Pack In Hands, Three Way Table Cuts, Four Way Cuts, Card Control",NONE
79,13-1,13,Card Sleights,Slip of Paper Force,The Force,1:25:13,1,273,---,The Classic Force,NONE
80,14-1,13,Novel Card Mysteries,Snap It!,"Forcing Decks, Force with Knife, Mathematical Force",0:00:10,1,275,Card selected and mixed in.  Deck is thrown in hat.  Magician flicks bottom of hat and single card jumps out of hat.  It is selected card.,,NONE
81,14-1,13,Novel Card Mysteries,The Card and Orange,Forcing Bottom Card,0:05:16,1,276,Selected card is torn into several pieces and placed in handkerchief. 1 piece is removed by spectator. All the rest of the pieces vanish.  Orange is magically removed from cord by spectator without tearing cord or ripping through Orange. Magician does not touch Orange.  Spectator cuts into Orange and finds card restored except for 1 piece that spectator holds onto.,,NONE
82,14-1,13,Novel Card Mysteries,The Devil's Letter,Force Behind Performer's Back,0:25:40,1,285,"2 spectators - Spectator 1 selects card and places card in pocket. Spectator 2 attempts to select the same card from a different deck and fails several times. Magician takes final attempted card match and places it in envelope and uses match to light flash paper inside envelope.  When card is shown again, it is 1 card above the original selected card (IE: it is 3 of hearts where spectator 1 selected 2 of hearts). Magician then flicks off center heart to make it correct.",,NONE
83,14-1,13,Novel Card Mysteries,The Bewitched Banana,Circus Trick,0:48:00,1,290,"Spectator selects card and imagines cutting a banana into the amount of pieces that the card value is equal to. When peeled, the banana is cut into that many pieces (4 of diamonds = 4 pieces).  3 pieces selected by the spectator are handed out to the audience.  The last piece has a diamond in it.",trick with a forced card,NONE
84,15-1,13,Restoring Torn Papers,Chinese Paper Mystery,The Riffle Force with prepared/unprepared cards,0:00:10,1,297,Magician tears dollar into 4 pieces and restores it,,NONE
85,15-1,13,Restoring Torn Papers,Winter-time in China,Forcing One of Four Cards on Table (various),0:07:45,1,301,"Variation of snowstorm. Magician lights candle and turns it into silk. He then proceeds to pull bud off paper rose and tear into pieces and puts pieces into liquid. He grabs a few, squeezes out liquid and uses hand fan to create ""snowstorm"". he then restores rose as a real rose. ",,NONE
86,15-1,13,Restoring Torn Papers,Winter-time in China (Tannen Arrangement),Slip of Paper Force,0:33:52,1,305,"Variation of snowstorm (and how to make confetti). Magician cuts paper into shape of snowflake, then rips up snowflake putting pieces into glass and pours water into it soaking pieces.  Magician grabs pieces, squeezes out water, and uses hand fan and dry confetti appears from his hand like a ""snowstorm""",,NONE
87,15-1,14,Restoring Torn Papers,Chinese Paper Mystery,Novel Card Mysteries,0:51:08,1,297,Spectator and magician both have paper hearts and rip them up and ball them up.  Then both are restored.,,NONE
88,15-1,14,Restoring Torn Papers,Hindu Paper Tearing,Snap It,0:58:32,1,312,Dollar is torn and burnt then reappears in magicians hand.,Hat is snapped and selected card jumps out,NONE
89,15-1,14,Restoring Torn Papers,Milady's Parisienne Hat,Card and Orange,1:08:00,1,317,"2 pieces of tissue paper are torn into many pieces, magician takes all pieces and squeezes them together and when done, un-ravels them to show they have merged together to form a paper hat.",Selected card found in orange,NONE
90,16-1,14,Rope and Tape,"Coats, Tapes, and Rings",Devil's Letter,0:04:42,1,321,"2 ropes are run through a keychain and a jacket, then another jacket and another keychain. the ropes are tied, and the ends held by spectators.  The spectators pull and the ropes go through everything.","Card not found in banana, but another card changes into it",NONE
91,16-1,14,Rope and Tape,"Coats, Ropes, and Rings",The Bewitched Banana,0:18:54,1,329,The magician comes out in a robe and slippers and sees ropes going through his clothes.  The ropes are tied around him and spectators pull on the ends.  The clothes come off the ropes and the ropes go through the magician.,Banana cut into selected number of pieces,NONE
92,16-1,15,Rope and Tape,The Prisoner's Escape or Hanging Oneself with Ropes,Restoring Torn Papers,0:52:15,1,334,2 ropes are tied around the magician's neck like a noose. both ropes go through the magician's neck. ,,NONE
93,16-1,15,Rope and Tape,The Magic Orange,Chinese Paper Mystery,0:59:37,1,338,"2 ropes are ""sewn"" through orange. ropes are tied around orange. 2 spectators each hold an end. When instructed to pull, the ropes go through the orange without hurting it",torn and restored tissue,NONE
94,16-1,15,Rope and Tape,Walking Through Tapes,Wintertime In China,1:11:52,1,342,"magician is tightly wrapped in 2 ropes, even through the arms of his coat. 2 spectators each hold an end and pull. magician turns and by the time he is all the way around, the ropes have come completely out and freed him ",Snowstorm from torn papers (2 versions),NONE
95,16-1,15,Rope and Tape,Another Tapes Release,Japanese Torn and Restored Napkins,1:19:32,1,344,"magician wraps spectator in 2 ropes, including through arms of coat, and handcuffs spectator. ends of rope are pulled and rope goes through spectator, coat, and handcuffs. Handcuffs then handcuff magician to spectator. magician then frees both from handcuffs ",torn and restored with fake explanation,NONE
96,17-1,15,Handkerchief Tricks,The Wandering Handkerchief,Hindu Paper Tearing,0:00:10,1,345,"Handkerchief magically goes from right pocket to left pocket then back to right. Spectator checks pockets. Spectator ties knots in Handkerchief. At the end, spectator pulls out handkerchief and magician's sock","Torn, burned, and restored",NONE
97,17-1,15,Handkerchief Tricks,The Silk and the Flame,Milady's Parisienne Hat,0:17:31,1,350,Magician cuts snowflake into paper. magician lights candle. Magician lights snowflake and as it flashes a silk appears. Magician makes silk vanish in hand. Magician wraps candle in magazine page and candle turns into silk. magician pulls lit candle from inside coat. ,Torn papers restored into a paper hat,NONE
98,17-1,16,Handkerchief Tricks,"The Candle, the Silk, and the Paper Tube",Rope and Tape Principle,0:37:15,1,356,"magician lights candle with match, match turns into silk. magician places tube around candle. silk vanishes in magicians hand. candle is removed and 2nd tube is used to cover candle. candle is lit. candle is pushed fully into tube. tube is shaken until silk comes out. tube is shown empty. 1st tube is removed to show candle. ",,NONE
99,17-1,16,Handkerchief Tricks,Elusive Silks,"Coats, Tapes, and Rings",0:53:35,1,358,Comedy routine involving 2 different color silks. a knot gets tied into them and unties itself. silks are placed in baseball cap and change color and money spring is produced as well ,Coat and rings removed from rope,NONE
100,18-1,16,Knotty Silks,Overview of Knotty Silks,"Coat, Ropes, and Rings",---,---,---,"The moves in this section can be done with silks, neckties, ropes, or anything similar and all put together to form a routine.",Similar to above,NONE
101,18-1,16,Knotty Silks,Instantaneous One-Hand Knot,Prisoner's Escape,0:41:34,1,363,Create a knot with 1-hand instantly,Rope through neck,NONE
102,18-1,16,Knotty Silks,Pull-Away Single Knot,Magic Orange,0:41:34,1,364,tie a knot in a rope that instantly vanishes,Orange falls from tapes into magician's hands.,NONE
103,18-1,16,Knotty Silks,Dissolving Single Knot,Walking Through Tapes with another Tapes Release,0:41:34,1,365,Tie a knot the spectators see on the rope and have the knot disappear ,,NONE
104,18-1,17,Knotty Silks,The Speedy Single Knot,Handkerchief Tricks,0:41:34,1,367,"bring both ends of handkerchief together and when you separate them, you create a knot in the handkerchief ",,NONE
105,18-1,17,Knotty Silks,The Fade-Away Double Knot,The Wandering Handkerchief,0:41:34,1,368,"tie 2 silks together and at your command, the knot unties itself ",Colored handkerchiefs travel from pocket to pocket,NONE
106,18-1,17,Knotty Silks,Nu-Way Double Knot,The Silk and The Flame,0:41:34,1,369,double knot instantly comes out,"Silk produced from candle, vanished, and more",NONE
107,18-1,17,Knotty Silks,Quick Release Double Knot,"The Candle, The Silk, and The Paper Tube",0:41:34,1,371,quickly take apart 2 silks that are double knotted together ,Another silk and candle routine,NONE
108,18-1,17,Knotty Silks,Leg Tie and Release with Handkerchief,Elusive Silks,0:41:34,1,372,silk is wrapped around leg and tied. magician grabs both ends and silk pulls through leg,change bag routine,NONE
109,18-1,18,Knotty Silks,The Magical Bow Knot (GW Hunter),Knotty Silks,0:41:34,1,374,"bow is tied, ends are pulled through to create knot, knot vanishes",,NONE
110,18-1,18,Knotty Silks,Chair Tie and Release with Bow Knot,Instantaneous One-Handed Knot In Handkerchief Silks,0:41:34,1,375,silk tied around solid object penetrates,,NONE
111,18-1,18,Knotty Silks,The Educated Knot,The Pull-Away Single Knot Silks,0:41:34,1,376,knot unties itself ,,NONE
112,18-1,18,Knotty Silks,The Sympathetic Silks,The Dissolving Single Knot Silks,0:41:34,1,378,"knots are tied in 2 silks. in response, 2 other silks tie themselves together. when those become untied, the first 2 become untied",,NONE
113,18-1,18,Knotty Silks,Tommy Dowd's Silk Penetration,The Speedy Single Knot Silks,0:41:34,1,382,"rope penetrates solid, silk penetrates rope",,NONE
114,18-1,18,Knotty Silks,Al Baker's Handkerchief Through the Arm,The Fade-Away Double Knot Silks,0:41:34,1,385,Silk penetrates spectator's arm,,NONE
115,18-1,18,Knotty Silks,The Phantom Knots,Nu-Way Double Knot Silks,0:41:34,1,386,"2 silks are tied to each other.  spectator holds one, magician holds the other.  Both pull.  Knots penetrate each other.",,NONE
116,19-1,18,Eggs and Silks,"The Egg, the Glass, and the Handkerchief",Quick Release Double Knot Silks,0:00:10,1,389,"2 eggs are broken into a glass.  Glass is covered.  Silk is placed in hand, and turns into egg. Egg is split into 2.  Glass is shown and has silk in it and is clean otherwise.",,NONE
117,19-1,18,Eggs and Silks,An Eggs-traordinary Eggs-planation,Leg Tie and Release with Handkerchief Silks,0:16:17,1,394,"Silk vanishes.  Magician shows audience he is using hollow egg.  Magician then shows audience how to do trick, but burns silk at end and turns hollow egg to real egg (even breaking it open), surprising audience",,NONE
118,19-1,18,Eggs and Silks,"A ""Sucker"" Handkerchief Vanish",The Magical Bow Knot Silks,0:35:02,1,399,"Magician puts silk in hand and ""acts"" like he is putting it in his pocket.  Opens hand to show it's still there.  Puts silk back in hand and ""acts"" like he puts it back in pocket again.  This time, silk vanishes, even with magician's pocket pulled out.",,NONE
119,19-1,18,Eggs and Silks,A One-Man Handkerchief Vanish,Chair Tie and Release with Bow Knot Silks,0:37:13,1,401,"Magician causes big sponge ball to vanish.  There is a tube covering a glass.  Sponge ball appears in glass.  Ball disappears again and appears in glass.  Audience sees assistant helping magician as magician throws ball over spectators shoulder to assistant.  To end, spectator holds 2 sponge balls tightly, ",,NONE
120,19-1,18,Eggs and Silks,Repeat Handkerchief Vanish,The Educated Knot,0:56:29,1,404,"magician pulls silk out of pocket, pokes into his hand, it vanishes. silk reappears inside pocket and trick is repeated several times. last time, silk vanishes, but turns into a 20 dollar bill ",a knot slowly unties itself in a silk,NONE
121,20-1,18,How to Please Your Audience,Imagination,The Sympathetic Silks,0:02:23,2,17,---,Three silks knot/unknot with three others,NONE
122,20-1,18,How to Please Your Audience,Originality,Tommy Dowd's Silk Penetration,0:09:10,2,18,---,Handkerchief penetrates rope,NONE
123,20-1,18,How to Please Your Audience,Human Nature,Al Baker's Handkerchief through the Arm,0:12:52,2,20,---,,NONE
124,20-1,18,How to Please Your Audience,Timing,The Phantom Knots,0:26:06,2,23,---,Colored silks tied together and separate,NONE
125,20-1,19,How to Please Your Audience,Humor,Eggs and Silks,0:32:40,2,24,---,,NONE
126,20-1,19,How to Please Your Audience,Good Taste,"The Egg, the Glass, and The Handkerchief",0:39:33,2,25,---,egg in glass and handkerchief transpose,NONE
127,20-1,19,How to Please Your Audience,Sincerity,Eggs-traordinary Eggs-planation,0:41:23,2,25,---,Silk and egg routine with fake explanation,NONE
128,20-1,19,How to Please Your Audience,Keeping Up with the Times,Sucker Handkerchief Vanish,0:43:54,2,26,---,,NONE
129,20-1,19,How to Please Your Audience,Proper Dress,One-Man Handkerchief Vanish,0:47:39,2,29,---,Visible comedy,NONE
130,20-1,19,How to Please Your Audience,Magicians Should be Artists,Repeat Handkerchief Vanish,0:51:18,2,29,---,handkerchief changes into lemon,NONE
131,20-1,20,How to Please Your Audience,Personality and Magnetism,How to Please Your Audience,0:59:03,2,31,---,,NONE
132,20-1,20,How to Please Your Audience,Make-up,"Imagination, Originality, Human Nature, Timing, Humor, Sincerity, Good Taste, Showmanship",1:01:58,2,31,---,,NONE
133,20-1,21,How to Please Your Audience,Showmanship,Magic with Wands,1:05:08,2,32,---,,NONE
134,21-1,21,Magic with Wands,"The ""P-L"" Vanishing Wand",The P&L Vanishing Wand,0:00:10,2,47,"Spectator chooses a colored marker from a box, magician chooses another.  Magician draws picture of spectator.  Spectator draws ""X"" on picture when picture is face down to mark a place on the spectator's body. Magician grabs an envelope and places the marker spectator used into it.  Magician crumples up envelope showing marker has vanished and spectator confirms it has reappeared in place he marked on his own body.","Performer taps a wand on the table to show it is solid, then wraps it in paper. The wrapped wand is then torn to pieces, and the wand is produced from inside the performer's jacket. Includes suggestions on a threaded wand.",NONE
135,21-1,21,Magic with Wands,Rising Wand Suggestion,The Wandering Wand and Envelopes,0:20:32,2,49,Audience thinks of colored marker from different colored markers in a box.  1 marker starts to rise.  ,"Two long envelopes are shown. A wand is placed in one, yet it disappears and is found in the other envelope Uses similar gimmick to P&L wand.",NONE
