ID,LESSON,BOOK_LESSON,SUBJECT,TITLE,BOOK_TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
307,33-3,35,Illusions,Three Kings and a Queen #3,Unexpected Opportunities for Unexpected Miracles,0:00:00,2,403,"Circular time device is wheeled onto stage. There is a bodybag connected to it. Magician gets into full hazard suit. Assistant gets into safety vest. Assistant gets into bodybag and sticks hands out of bag. Magician operates time device. Something appears to go wrong, Magician removes hazard gear to reveal he is now assistant.  Bodybag is opened to reveal assistant is now magician. ",,NONE
308,33A-1,35,Mental Magic,The Optical Force,Sucker Tricks,0:00:09,2,408,"4 cards are chosen at random (1 by magician, 3 by spectators). All cards are the exact same (all 5's).",,NONE
309,33A-1,35,Mental Magic,Demon Digits,Much Ado About Nothing,0:06:13,2,409,"3 digits are thought of by the spectator (all different digits). The numbers are reversed, then both numbers are subtracted.  Total is written down.  Magician uses playing cards to reveal all 3 digits of the total. ",,NONE
310,33A-1,36,Mental Magic,Ultra Die,Intimate Magic,0:18:54,2,410,Magician draws something on business card and folds business card and hands it to spectator to keep safe. 6 cards are randomly selected from shuffled deck. The 6 cards are placed face down in random places in the deck. A die is rolled and the number that comes up on the die is the face down card removed for the prediction. It matches what he wrote in the beginning.,,NONE
311,33A-1,36,Mental Magic,The Folded Prophecy,Christopher's Double Cross,0:33:27,2,412,"Greeting card inside envelope is passed around the audience. When it randomly stops, audience member who has it comes up. The card is pulled out and it has the letter of the persons middle name.","Paper torn into 8 pieces and placed in two piles. Spectator selects one pile, magician draws crosses on each of the other papers. These are burnt. Spectator's papers now have crosses.",NONE
312,33A-1,36,Mental Magic,Liars Convention,Joe Berg's Double Cross,0:43:57,2,412,"After cutting the cards several times, the top 3 cards are pulled off the deck by 3 spectators. The spectators decide which card to show to the audience. 1 spectator shows their card, the other 2 switch their cards. All 3 make sure their cards are face down.  The magician then attempts to divise who showed the card via vocal inflection. The magician then proceeds to divine the exact card.  Deck is cut again. Each spectator takes a new card. Again 1 spectator shows a card. Again, the magician is able to divine who showed and what the card is.  Trick is repeated a 3rd time. ","Palm is shown empty, cardboard is placed on top and two crosses are marked on the cardboard and erased. When removed, the crosses have transferred to the palm.",NONE
313,33A-1,36,Mental Magic,Clocks and Cards,Tarbell's Sugar Mark,1:21:16,2,414,Spectator draws hands on an analog clock representing the time they were born. Assistant receives your watch and uses dials to turn hands to spectator's birth time. A playing card is drawn in under the clock. The assistant is handed a shuffled deck of cards.  Assistant removes 1 card...  It matches drawn card.,A mark made on a sugar lump transfers to a plate.,NONE
314,33A-1,36,Mental Magic,Roughing It,Christopher's Match Book and Coin,1:41:17,2,416,"5 cards are removed from deck and the deck is turned face up. Spectator remembers 1 of the 5 cards and mixes the packet up.  Spectator then places the 5 face down cards into the face up deck anywhere randomly.  Behind his back, magician locates the face down cards and flips 4 of them over leaving only 1 face down - the spectator's thought of card.",A coin is produced from a paper match book,NONE
315,34-1,36,Routining a Magic Show,Introduction,Christopher's Match Stickler,0:00:09,3,21,---,"Matches in book are counted. One is removed and burnt. It is found back in the book, but burnt!",NONE
316,34-1,36,Routining a Magic Show,The Secret to a Better Routine,Audley Walsh Match Routine,0:04:06,---,---,---,A sort of multiplying match sticks routine,NONE
